	differentiation	differentiation	differentiation	differentiation	lower	lower	lower	lower	upper	upper	upper	upper	upper_vs_lower	upper_vs_lower	upper_vs_lower	upper_vs_lower
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1
	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
ACOT13	0.39917423971230637	-1.5915421011446702	5	5	0.5702369356998382	9.220133361394987	4	4	0.4178549877261867	-6.1890827905145365	4	4	0.1698561098975886	-10.453291334718275	3	3
ACOX1	0.6296538564774289	-1.9532740281791663	5	5	0.6809577535966672	12.516073272129054	5	5	0.19274431982412155	-9.17079431802874	4	4	0.028072903917628345	-14.203867701314769	3	3
ACP1	0.34849294658038776	-0.8934003501391911	4	4	0.9239084394407335	5.6792382905008365	3	3	0.5971344532108822	-2.9366156764641613	3	3	0.4721312575287234	-7.044594492585233	3	3
ACP2	0.5236103723312016	-5.450402884914236	4	4	0.5552410132851231	4.750829675309562	3	3	0.3496398385714472	-4.998096631753522	2	2	0.9041088338302047	-6.716339851783049	2	2
ACP5	0.20721430737848223	-3.897878197584852	10	10	0.5479670828230694	15.682962175297975	10	10	0.5092257974746615	0.7846348262889854	9	9	0.7340878615334816	-14.783079387694817	10	10
ACP6	0.695063033132191	-2.4278124759952786	5	5	0.1579563727234552	9.554116442565638	4	4	0.42301800395951616	-3.709090777463425	4	4	0.052939457672906934	-11.288675484306799	4	4
ACPP	0.6164552554061412	-5.372433559770172	5	5	0.1169944375551616	-1.446258933365219	3	3	0.6447816890488338	-3.2331637424497774	4	4	0.08713465724162658	3.8971506042965522	2	2
ACPT	0.4836004517093957	-7.938937238945101	4	4	0.10197537344010779	13.745382945765096	2	2	0.4489671913344533	4.461849557846095	2	2	0.30787314950254463	-7.977207610333422	3	3
ACSL1	0.7158625836550816	-1.1348729490249885	5	5	0.5885107207714262	4.472806524293345	5	5	0.5706865825457641	-3.5984851691150994	5	5	0.8787148714580514	-1.9539575935395814	2	2
ACSL3	0.48005734270335876	-1.5845000349142413	5	5	0.412207644131664	1.590500892086214	4	4	0.09325267069343121	-9.143044853909371	4	4	0.7844784035957554	-6.518918959064901	1	1
ACSL4	0.9727004053932512	-4.380308723645686	5	5	0.33425458174009104	12.17541565364113	4	4	0.2991567548498427	4.149453448303854	5	5	0.5869048553378209	-11.065559460095924	5	5
ACSS2	0.4917399930413745	-8.20853210987457	5	5	0.8178185521799152	5.15074681750554	3	3	0.04586627076482021	10.108094566239535	5	5	0.1237003872799523	0.3545630647030575	5	5
ACTA1	0.4575930564500248	-8.970972187921163	10	10	0.9702213283555201	15.583364004190962	8	8	0.6250012129326821	-3.9119309095604415	8	8	0.5655637689372652	-18.22445436774317	7	7
ACTR2	0.1250905407901824	-9.413048376868398	5	5	0.90661939510372	7.704890766451644	2	2	0.9644759375975938	-0.10919243543790014	2	2	0.8732478202697368	-5.885734612832432	1	1
ACVR1	0.13293154695133905	-9.261124533590264	5	5	0.35157980337446804	-0.9126278622555875	2	2	0.579895160505081	-4.379104710753629	2	2	0.24510452828522722	3.809478093950575	1	1
ACVR1B	0.7511279525528358	-4.747785128713276	4	4	0.7772466586084936	4.471242082796739	2	2	0.6937260992273393	-3.0846470963320733	3	3	0.505018275524211	-7.193146412465532	2	2
ACVR1C	0.21912122290511848	-8.877705558573616	5	5	0.7573152357135455	5.879300078430866	3	3	0.5409137595460822	0.6312589618225323	3	3	0.4966332316200591	-2.2669033337833375	3	3
ACVR2A	0.365296891391101	-5.855311299673029	5	5	0.1118375079424393	-1.4799807697284006	3	3	0.5125372997594984	3.1814718844556125	5	5	0.012072487784279232	4.585573122303771	3	3
ACVR2B	0.883747905809653	-4.995973222055704	5	5	0.8529114166419892	5.89949720281129	3	3	0.5279686378321821	3.4137936103464135	4	4	0.8789105686766774	-3.9798273617591584	4	4
ACVRL1	0.085356943022751	-9.218678399678316	5	5	0.8091617172026402	8.302716971304058	2	2	0.15567600501813117	4.583578047067454	3	3	0.5829597999420405	-3.328754121997805	3	3
ACY1	0.8203403162357867	-5.084534621320706	5	5	0.6329646623089908	5.935821950208461	3	3	0.499123492760142	1.3684452118202437	4	4	0.7306965808687735	-6.7725646944912805	4	4
ACY3	0.9704595824312644	-4.147776102952608	10	10	0.8407429931403023	9.482883938586651	6	6	0.9091040120231018	-3.513631157511629	7	7	0.8405170719238915	-6.787380993026434	5	5
ACYP2	0.736875082392942	-5.425933114645919	5	5	0.4088637527597777	-0.411423562144841	3	3	0.8035789104452501	-2.617931885557679	3	3	0.2574487214117861	3.3470831475439535	2	2
