	Diff	Lower	T0	Upper
	Rep1	Rep1	Rep1	Rep1
sgId				
AGTR1_+_148416039.23-P1P2	1588	2	313	2
AGTR1_+_148416061.23-P1P2	1533	3	2069	1999
AGTR1_-_148415743.23-P1P2	3	1	2439	1511
AGTR1_-_148415748.23-P1P2	1067	1	1599	2
AGTR1_-_148415793.23-P1P2	4	3964	2172	1585
AGTR2_+_115301983.23-P1P2	1736	0	136	1
AGTR2_+_115302459.23-P1P2	0	0	443	0
AGTR2_-_115301994.23-P1P2	0	0	847	0
AGTR2_-_115302232.23-P1P2	0	0	105	0
AGTR2_-_115302383.23-P1P2	1425	1	184	0
AGXT2_+_35048018.23-P1P2	1	0	433	0
AGXT2_-_35047934.23-P1P2	2661	1	659	1557
AGXT2_-_35047958.23-P1P2	3	1	1245	2103
AGXT2_-_35047966.23-P1P2	0	0	0	0
AGXT2_-_35048026.23-P1P2	2	1	684	1910
AGXT_+_241808192.23-P1P2	2	1104	1321	3518
AGXT_+_241808286.23-P1P2	2735	1	699	0
AGXT_+_241808483.23-P1P2	106	0	873	0
AGXT_+_241808706.23-P1P2	4	2317	1464	1550
AGXT_-_241808273.23-P1P2	857	0	1210	0
AHCY_-_32890731.23-P1P2	1140	1477	2437	1970
